model_id,n_epochs,cat_feat_embedding,data_augmentation,soft_labels,lr,l2_decay,train_every,gamma,independence_discriminator_dropouts,independence_discriminator_layers,local_dropouts,local_layers,concept_dropouts,concept_layers,common_dropouts,common_layers,n_batches,batch_size,only_causal_sources,concept_graph_edges,uses_target_for_distillation,has_causal_biases,validation_mean_golden_roc_auc,validation_abs_fidelity,validation_rel_fidelity,validation_norm_fidelity,validation_recall_at_10fpr,validation_recall_at_5fpr,validation_recall_at_3fpr,validation_recall_at_1fpr,validation_diversity_max_0,validation_diversity_max_1,validation_diversity_dataset_0,validation_diversity_dataset_1,validation_diversity_pairwise_0,validation_diversity_pairwise_1,validation_avg_bce_loss,validation_avg_base_bce_loss,validation_independence_roc_auc,validation_independence_bce_loss,validation_concept_acc,test_mean_golden_roc_auc,test_abs_fidelity,test_rel_fidelity,test_norm_fidelity,test_avg_bce_loss,test_avg_base_bce_loss,test_independence_roc_auc,test_independence_bce_loss,test_recall_at_10fpr,test_recall_at_5fpr,test_recall_at_3fpr,test_recall_at_1fpr,test_diversity_max_0,test_diversity_max_1,test_diversity_dataset_0,test_diversity_dataset_1,test_diversity_pairwise_0,test_diversity_pairwise_1,test_concept_acc,model_category,local
3e7d580c1dd8541912dd6680d56d4b46,21,loaded,True,False,0.0001,0.0031742706392321185,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[16, 8, 4, 1]","[0.2, 0.0, 0.0, 0.0, 0.0, 0.0]","[128, 64, 16, 4, 1]",,,44,110,,[],,,0.5546778310594617,0.35341429710388184,0.15286916494369507,0.0,0.15584415584415584,0.09090909090909091,0.03896103896103896,0.006493506493506494,0.7077162861824036,0.7605509608983994,0.012433217838406563,0.012433217838406563,0.5714285969734192,0.5714285969734192,1.9571421146392822,0.570607602596283,0.5385906913785923,0.6913385391235352,0.6673955296404276,0.5524077166547047,0.34243422746658325,0.1402263045310974,0.0,2.002032995223999,0.5272000432014465,0.5749328963138876,0.6832574605941772,0.15147747747747747,0.07320945945945946,0.04579054054054054,0.022684684684684684,0.7080031633377075,0.761057585477829,0.0121889878064394,0.0121889878064394,0.571428656578064,0.571428656578064,0.6572562749642488,trainable_cbm_cub_nn,False
be7104842b54bd3983b5dff62b50111e,100,simplified,True,False,0.0001,2.2984456290189237e-06,,,,,"[0.1, 0.1, 0.0, 0.0]","[16, 8, 4, 1]","[0.1, 0.1, 0.0, 0.0, 0.0]","[32, 16, 8, 1]",,,142,34,,[],,,0.7528896377116615,0.9141217991709709,0.3735051155090332,0.36666250228881836,0.8181818181818182,0.6818181818181818,0.564935064935065,0.33766233766233766,0.5945907533168793,0.5945907235145569,0.032223526388406754,0.032223526388406754,0.4761905372142792,0.4761905372142792,0.3613872230052948,0.5706076622009277,0.8630171456337636,0.4715026021003723,0.7561953352769679,0.7568989207161915,0.9250340908765793,0.3671162724494934,0.3606032729148865,0.3370899558067322,0.5271999835968018,0.907717552432146,0.3867233693599701,0.7554054054054054,0.6167567567567569,0.5194774774774775,0.25405405405405407,0.5928921699523926,0.5928921699523926,0.029100079089403152,0.0291000809520483,0.4761905074119568,0.4761905074119568,0.7598747472755066,trainable_cbm_cub_nn,False
c61669304ea3ab4ad63e8a207e83d9fe,27,simplified,True,True,1e-05,0.0001149043881253516,,,,,"[0.1, 0.01, 0.0, 0.0, 0.0]","[16, 4, 1]","[0.2, 0.0, 0.0, 0.0, 0.0, 0.0]","[128, 64, 16, 4, 1]",,,62,78,,[],,,0.5590345273067665,0.594987541437149,0.16798245906829834,0.0,0.29948051948051946,0.15714285714285722,0.13636363636363635,0.05844155844155844,0.7650442570447922,0.7363405823707581,0.054041147232055664,0.05404115095734596,0.2857142984867096,0.2857142984867096,1.0766184329986572,0.570607602596283,0.5346036373733166,0.6949580907821655,0.6545189504373178,0.5481785290612976,0.6062877178192139,0.1680452823638916,0.0,1.0360265970230103,0.5271999835968018,0.5719008832652634,0.6860944032669067,0.22162162162162163,0.1144594594594595,0.05810810810810811,0.013756756756756756,0.7658068239688873,0.7299558520317078,0.05361943691968918,0.053619422018527985,0.285714328289032,0.285714328289032,0.6514621036540263,trainable_cbm_cub_nn,False
7bb3a4add304e52fd4c95bec521ab1a5,32,simplified,False,True,1e-05,0.00714004570665358,,,,,"[0.1, 0.1, 0.0, 0.0]","[16, 8, 4, 1]","[0.1, 0.1, 0.0, 0.0, 0.0]","[32, 16, 1]",,,53,92,,[],,,0.5557602241330213,0.6608502268791199,0.16307276487350464,0.0,0.04891774891774893,0.025974025974025976,0.01948051948051948,0.006493506493506494,0.8571428507566452,0.8571428507566452,0.020414648577570915,0.020414648577570915,0.0,0.0,0.816113293170929,0.570607602596283,0.5469769540469249,0.6937859058380127,0.6257288629737608,0.5647869062678055,0.6586416363716125,0.16486310958862305,0.0,0.8250525593757629,0.5271999835968018,0.5898503671504296,0.6804292798042297,0.08648648648648649,0.04864864864864865,0.032392931392931396,0.011376876876876878,0.8571428507566452,0.8571428507566452,0.021052049472928047,0.021052049472928047,0.0,0.0,0.6390107993490803,trainable_cbm_cub_nn,False
53cbca7c4f969640be4c124f23b76927,100,simplified,False,True,0.0001,0.001328862071888064,,,,,"[0.1, 0.0, 0.0, 0.0, 0.0, 0.0]","[16, 8, 6, 4, 1]","[0.2, 0.0, 0.0, 0.0, 0.0, 0.0]","[32, 16, 8, 1]",,,371,13,,[],,,0.7173228364203215,0.9023681059479713,0.336051881313324,0.3393195867538452,0.7963636363636364,0.6298701298701299,0.4314285714285714,0.2609090909090909,0.8571428507566452,0.6063442528247833,0.03538190945982933,0.035381902009248734,0.4761878252029419,0.4761878252029419,0.3769892752170563,0.570607602596283,0.7613118376602341,0.5693877339363098,0.7337220602526724,0.7253490190134569,0.9116942062973976,0.3390905261039734,0.31862521171569824,0.3592207729816437,0.5271999835968018,0.8104825329048452,0.5272233486175537,0.6891891891891891,0.5441891891891892,0.4243243243243243,0.24852027027027027,0.8571428507566452,0.6010130047798157,0.031457748264074326,0.03145773336291313,0.4761877655982971,0.4761877655982971,0.7363282213126882,trainable_cbm_cub_nn,False
e91166aa98627d4e6060d8e1aa6d62af,69,simplified,False,True,0.001,0.000913571305792668,,,,,"[0.1, 0.01, 0.0, 0.0, 0.0]","[24, 16, 8, 4, 1]","[0.3, 0.2, 0.1, 0.0]","[32, 16, 8, 1]",,,210,23,,[],,,0.7501295088836708,0.9323499128222466,0.38446474075317383,0.43972694873809814,0.8831168831168831,0.7561038961038962,0.6319480519480519,0.4025974025974026,0.283439040184021,0.7063576579093933,0.03814317658543587,0.03814317658543587,0.5714285969734192,0.5714285969734192,0.3196960687637329,0.570607602596283,0.8693628812069046,0.4487093985080719,0.7484207968901847,0.7526351058170595,0.9369708225131035,0.37298351526260376,0.4078976511955261,0.3121563494205475,0.5271999835968018,0.9010360782922211,0.4086625874042511,0.7926486486486487,0.6432432432432432,0.5589459459459459,0.33783783783783783,0.2728284001350403,0.7036539316177368,0.032332319766283035,0.032332323491573334,0.571428656578064,0.571428656578064,0.7515656590561665,trainable_cbm_cub_nn,False
4fdae8c9d84e76311b83642c11a9e51a,100,simplified,False,False,1e-05,0.0008811268423116867,,,,,"[0.2, 0.1, 0.0, 0.0, 0.0, 0.0]","[16, 4, 1]","[0.2, 0.0, 0.0, 0.0, 0.0, 0.0]","[128, 64, 16, 4, 1]",,,1606,3,,[],,,0.7455048966106742,0.918849378824234,0.36961793899536133,0.3735201358795166,0.8116883116883117,0.6818181818181818,0.5432467532467532,0.23012987012987013,0.8571428507566452,0.8571428507566452,0.04163840785622597,0.04163840785622597,0.0,0.0,0.357474148273468,0.5706075429916382,0.8936467444120505,0.40415823459625244,0.7513362487852283,0.7414964492059921,0.9246789589524269,0.3619661331176758,0.3474035859107971,0.3440488278865814,0.5271999835968018,0.9080346171256162,0.37958094477653503,0.7202702702702702,0.5718108108108109,0.43108108108108106,0.20509459459459461,0.8571428507566452,0.8571428507566452,0.03570541366934776,0.03570541366934776,0.0,0.0,0.7516149711524236,trainable_cbm_cub_nn,False
b4609e72076f033c4c176787c0641eb6,50,loaded,False,True,0.01,2.597027907586782e-05,,,,,"[0.1, 0.1, 0.0, 0.0]","[16, 4, 1]","[0.2, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0]","[64, 32, 16, 8, 1]",,,103,47,,[],,,0.6925669408276601,0.9356793686747551,0.4248310327529907,0.44252514839172363,0.8441558441558441,0.7727272727272727,0.6276623376623377,0.3961038961038961,0.5850590765476227,0.5850590765476227,0.040421392768621445,0.040421389043331146,0.4761905372142792,0.4761905372142792,0.31809937953948975,0.570607602596283,0.8307215743440234,0.5052597522735596,0.7479348882410107,0.6965008815785295,0.943574421107769,0.4229334592819214,0.42525821924209595,0.30300384759902954,0.5271999835968018,0.8624300858052604,0.4586043059825897,0.8175675675675675,0.6432432432432432,0.5594594594594594,0.3824324324324324,0.5806677341461182,0.5806677341461182,0.03558719530701637,0.03558719530701637,0.4761905074119568,0.4761905074119568,0.7439715962325558,trainable_cbm_cub_nn,False
4610dab50e634f0256c690ad356743bd,64,loaded,False,False,0.001,1.8082328021470588e-06,,,,,"[0.1, 0.01, 0.0, 0.0, 0.0]","[16, 8, 6, 4, 1]","[0.2, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0]","[64, 32, 16, 8, 1]",,,689,7,,[],,,0.7429676195166223,0.9069913104176521,0.3056143522262573,0.3580707311630249,0.8311688311688312,0.7730519480519481,0.5324675324675324,0.3181818181818182,0.5979011058807373,0.8076125383377075,0.020014960318803787,0.020014960318803787,0.4761905372142792,0.4761905372142792,0.3662897050380707,0.570607602596283,0.7968467999444677,0.5484284162521362,0.7453838678328474,0.7414795206483441,0.9178900793194771,0.3083804249763489,0.3484518527984619,0.343496173620224,0.5271999835968018,0.8334162833035592,0.49923092126846313,0.7945945945945946,0.6428378378378379,0.5310810810810811,0.32110810810810814,0.5943814516067505,0.8068408966064453,0.017795264720916748,0.017795264720916748,0.4761905074119568,0.4761905074119568,0.747275506681789,trainable_cbm_cub_nn,False
17c2e5cd6c24b4d134d9b4f58c78872d,100,loaded,True,True,0.0001,1.3270042070079639e-06,,,,,"[0.1, 0.01, 0.0, 0.0, 0.0]","[16, 8, 4, 1]","[0.2, 0.0, 0.0, 0.0, 0.0, 0.0]","[32, 16, 1]",,,1205,4,,[],,,0.7473199761992267,0.9229878038167953,0.39462435245513916,0.39728111028671265,0.8311688311688312,0.7597402597402597,0.6038961038961039,0.3005882352941177,0.3193526268005371,0.8571428507566452,0.041716136038303375,0.04171615466475487,0.0,0.0,0.3439159393310547,0.5706075429916382,0.8697200819103152,0.45496004819869995,0.7450194363459669,0.7445313589654793,0.9325163513422012,0.3988538384437561,0.37685662508010864,0.32852116227149963,0.5271999835968018,0.8940534463121061,0.40617188811302185,0.7717417417417417,0.6406756756756757,0.5002094594594595,0.18688624078624078,0.30363214015960693,0.8571428507566452,0.037725310772657394,0.037725310772657394,0.0,0.0,0.7476946594999754,trainable_cbm_cub_nn,False
