model_id,n_epochs,cat_feat_embedding,data_augmentation,soft_labels,lr,l2_decay,train_every,gamma,independence_discriminator_dropouts,independence_discriminator_layers,local_dropouts,local_layers,concept_dropouts,concept_layers,common_dropouts,common_layers,n_batches,batch_size,only_causal_sources,concept_graph_edges,uses_target_for_distillation,has_causal_biases,validation_mean_golden_roc_auc,validation_abs_fidelity,validation_rel_fidelity,validation_norm_fidelity,validation_recall_at_10fpr,validation_recall_at_5fpr,validation_recall_at_3fpr,validation_recall_at_1fpr,validation_diversity_max_0,validation_diversity_max_1,validation_diversity_dataset_0,validation_diversity_dataset_1,validation_diversity_pairwise_0,validation_diversity_pairwise_1,validation_avg_bce_loss,validation_avg_base_bce_loss,validation_independence_roc_auc,validation_independence_bce_loss,validation_concept_acc,test_mean_golden_roc_auc,test_abs_fidelity,test_rel_fidelity,test_independence_roc_auc,test_independence_bce_loss,test_concept_acc,model_category,local,test_norm_fidelity,test_avg_bce_loss,test_avg_base_bce_loss
e8abf6b2d6d453629e5460cf3e1ef4ea,17,simplified,,,0.001,1.0763521650677063e-05,,,,,,,"[0.2, 0.1, 0.1]","[16, 8, 4, 1]","[0.5, 0.1, 0.1]","[128, 64]",1709,245,,[],,,0.7743346926094846,,,,,,,,,,,,,,,,0.9690604644680604,0.21439421176910398,,0.7692100390303197,,,0.9736318164751104,0.19210895895957947,0.8220675944333996,explainability_baseline,False,,,
b8f8e9aa4015f527467c7b5500c85c98,79,loaded,,,1e-05,0.003573367142184102,,,,,,,"[0.1, 0.1, 0.0]","[16, 8, 4, 1]","[0.5, 0.0, 0.0]","[200, 100, 50]",1002,237,,[],,,0.7740830916989654,,,,,,,,,,,,,,,,0.9896373552913884,0.11003732681274414,,0.7725544705494053,,,0.9919685753853388,0.08763742446899414,0.8214049039098742,explainability_baseline,False,,,
eddbdf7980b2f3fd672fb5369b74d51e,88,loaded,,,1e-05,0.00034416132928785333,,,,,,,"[0.2, 0.1, 0.1]","[32, 16, 1]","[0.5, 0.0, 0.0]","[128, 64, 32]",1450,160,,[],,,0.7768837906180636,,,,,,,,,,,,,,,,0.9800830532044004,0.1689857691526413,,0.775777479859533,,,0.979953242644702,0.16335517168045044,0.8227302849569251,explainability_baseline,False,,,
051a1d68c5ffe1d524d4e4122e10b2f5,17,simplified,,,0.001,4.153423704774233e-05,,,,,,,"[0.2, 0.1, 0.1]","[32, 16, 8, 1]","[0.5, 0.2, 0.1]","[128, 64]",1198,111,,[],,,0.7764854948703697,,,,,,,,,,,,,,,,0.9731644077019428,0.19986294209957126,,0.7702366220069511,,,0.9800132621351902,0.16312460601329806,0.8223989396951623,explainability_baseline,False,,,
cd267c880f3768acdc4ff753fe43cd1d,33,loaded,,,0.001,0.0009167993946939752,,,,,,,"[0.2, 0.1, 0.1]","[32, 16, 1]","[0.5, 0.1, 0.0]","[128, 64, 32]",2049,184,,[],,,0.7815824808398025,,,,,,,,,,,,,,,,0.9838472892252524,0.14824669063091278,,0.7813743792150873,,,0.9862921954431696,0.13173907995224002,0.8247183565275016,explainability_baseline,False,,,
44c95b273e9eaf6e604fc36e13ae6fc0,67,loaded,,,1e-05,7.028846407400986e-06,,,,,,,"[0.2, 0.0, 0.0]","[32, 16, 1]","[0.5, 0.0, 0.0]","[128, 64, 32]",693,248,,[],,,0.7727067682387875,,,,,,,,,,,,,,,,0.9660631025362414,0.22409848868846893,,0.7723123417471484,,,0.9778195791371956,0.17361973226070404,0.8237243207422132,explainability_baseline,False,,,
355116290382b4185539630bc6d1943a,62,simplified,,,0.0001,0.005870267488129257,,,,,,,"[0.2, 0.1, 0.1]","[16, 4, 1]","[0.5, 0.1, 0.1]","[200, 100, 50]",1759,126,,[],,,0.7665192021083581,,,,,,,,,,,,,,,,0.9954100278016792,0.05660482868552207,,0.7665192021083581,,,0.9961618488331324,0.05413074791431427,0.8207422133863487,explainability_baseline,False,,,
df90856dea7bc0365742d5718735e843,27,simplified,,,0.001,0.00030285238415739236,,,,,,,"[0.1, 0.0, 0.0]","[16, 8, 4, 1]","[0.5, 0.1, 0.1]","[128, 64, 32]",1393,116,,[],,,0.7754631727411762,,,,,,,,,,,,,,,,0.9740885206288872,0.1996004432439804,,0.7727633109037617,,,0.9818452468493668,0.15194042026996613,0.8253810470510272,explainability_baseline,False,,,
5c6e7e9c30b8137b8ea20f371f60e315,48,simplified,,,0.0001,2.1403975863924403e-06,,,,,,,"[0.2, 0.1, 0.1]","[16, 8, 4, 1]","[0.5, 0.0, 0.0]","[128, 64]",446,517,,[],,,0.7735432169925507,,,,,,,,,,,,,,,,0.972328676719996,0.20633120834827426,,0.772191705889131,,,0.9745228458791786,0.18701171875,0.8223989396951623,explainability_baseline,False,,,
d7bf64f2c8f675199a6b5ead9692801f,51,simplified,,,0.0001,0.009586350553107687,,,,,,,"[0.2, 0.0, 0.0]","[16, 8, 4, 1]","[0.5, 0.1, 0.0]","[200, 100, 50]",363,306,,[],,,0.7336627163192576,,,,,,,,,,,,,,,,0.9972611298091456,0.05550696700811386,,0.6918676987589808,,,0.999400036228777,0.019415535032749176,0.8204108681245859,explainability_baseline,False,,,
6cb93e036ddea0f640a76fca2eeb05ff,29,simplified,,,0.01,0.0001601863917711126,,,,,,,"[0.2, 0.1, 0.1]","[16, 4, 1]","[0.5, 0.1, 0.0]","[200, 100, 50]",463,258,,[],,,0.771647728523588,,,,,,,,,,,,,,,,0.9773332864221982,0.1807253658771515,,0.7703135920573417,,,0.9838650239502114,0.13445094227790833,0.823061630218688,explainability_baseline,False,,,
f57ddc88b2ab99781e7ee56b69c73e02,18,simplified,,,0.001,1.7112051967353642e-06,,,,,,,"[0.2, 0.0, 0.0]","[16, 8, 4, 1]","[0.5, 0.2, 0.1]","[200, 100, 50]",1460,105,,[],,,0.7698100375111353,,,,,,,,,,,,,,,,0.9697417644484873,0.2090240865945816,,0.7631800306962049,,,0.978005260077324,0.1700436919927597,0.8190854870775347,explainability_baseline,False,,,
bd042abcb9ce2d457809d78a682c31f4,16,simplified,,,0.01,0.0005949492831356268,,,,,,,"[0.1, 0.1, 0.0]","[32, 16, 1]","[0.5, 0.0, 0.0]","[200, 100, 50]",944,489,,[],,,0.7736548565387281,,,,,,,,,,,,,,,,0.9854291395347804,0.14016525447368622,,0.7729844416570691,,,0.99157348838587,0.09799214452505113,0.8240556660039763,explainability_baseline,False,,,
a675f2ffc2925ed8d5623fabe28bcc8a,29,loaded,,,1e-05,0.009235990793771428,,,,,,,"[0.2, 0.0, 0.0]","[32, 16, 1]","[0.5, 0.0, 0.0]","[128, 64, 32]",1581,248,,[],,,0.7744836039288443,,,,,,,,,,,,,,,,0.9855678917418528,0.1298769861459732,,0.7659466479146184,,,0.9968503916878328,0.0433833971619606,0.8220675944333996,explainability_baseline,False,,,
48fa76f8c7a64deb06cf157b70b4c7b1,33,simplified,,,0.001,2.1929379402574952e-05,,,,,,,"[0.1, 0.1, 0.0]","[16, 4, 1]","[0.5, 0.1, 0.1]","[128, 64]",1177,252,,[],,,0.7744154077286288,,,,,,,,,,,,,,,,0.9690627325986728,0.21575966477394104,,0.7627893121299762,,,0.981611345628056,0.15176157653331754,0.8223989396951623,explainability_baseline,False,,,
b2153dd19e9ec70b24ff19715508b282,40,loaded,,,0.01,4.393495432853575e-06,,,,,,,"[0.1, 0.1, 0.0]","[16, 4, 1]","[0.5, 0.1, 0.1]","[128, 64]",1761,262,,[],,,0.7751713940514374,,,,,,,,,,,,,,,,0.9612357554394998,0.2400199621915817,,0.7665692394508671,,,0.9787198918632803,0.16738556325435638,0.8217362491716368,explainability_baseline,False,,,
1bbb2ab38c495c7d3b1bac44e2852108,40,simplified,,,0.0001,0.00012147530600901127,,,,,,,"[0.1, 0.0, 0.0]","[16, 8, 4, 1]","[0.5, 0.2, 0.1]","[128, 64]",934,148,,[],,,0.7822398418912858,,,,,,,,,,,,,,,,0.9701676196344962,0.21120083332061768,,0.7768351125651686,,,0.9795144627528539,0.15981951355934146,0.8247183565275016,explainability_baseline,False,,,
6d15463cf15cf0174dc839aebeb528ab,43,simplified,,,0.01,5.688348473045216e-05,,,,,,,"[0.2, 0.0, 0.0]","[16, 8, 4, 1]","[0.5, 0.1, 0.1]","[200, 100, 50]",217,174,,[],,,0.7796672626801353,,,,,,,,,,,,,,,,0.9747050900745032,0.19425068795681,,0.7760466488633772,,,0.9907710941656824,0.10625508427619934,0.8243870112657389,explainability_baseline,False,,,
5cbc6bd5261f0ad9f433645dbe8f0207,45,simplified,,,0.0001,4.356224113863631e-05,,,,,,,"[0.1, 0.0, 0.0]","[16, 4, 1]","[0.5, 0.1, 0.1]","[128, 64, 32]",891,222,,[],,,0.7700796990122537,,,,,,,,,,,,,,,,0.9772674764758305,0.18195883929729464,,0.7655294276242115,,,0.9787126174535292,0.16563977301120758,0.8223989396951623,explainability_baseline,False,,,
