model_id,n_epochs,cat_feat_embedding,data_augmentation,soft_labels,lr,l2_decay,train_every,gamma,independence_discriminator_dropouts,independence_discriminator_layers,local_dropouts,local_layers,concept_dropouts,concept_layers,common_dropouts,common_layers,n_batches,batch_size,only_causal_sources,concept_graph_edges,uses_target_for_distillation,has_causal_biases,validation_mean_golden_roc_auc,validation_abs_fidelity,validation_rel_fidelity,validation_norm_fidelity,validation_recall_at_10fpr,validation_recall_at_5fpr,validation_recall_at_3fpr,validation_recall_at_1fpr,validation_diversity_max_0,validation_diversity_max_1,validation_diversity_dataset_0,validation_diversity_dataset_1,validation_diversity_pairwise_0,validation_diversity_pairwise_1,validation_avg_bce_loss,validation_avg_base_bce_loss,validation_independence_roc_auc,validation_independence_bce_loss,validation_concept_acc,test_mean_golden_roc_auc,test_abs_fidelity,test_rel_fidelity,test_norm_fidelity,test_avg_bce_loss,test_avg_base_bce_loss,test_independence_roc_auc,test_independence_bce_loss,test_recall_at_10fpr,test_recall_at_5fpr,test_recall_at_3fpr,test_recall_at_1fpr,test_diversity_max_0,test_diversity_max_1,test_diversity_pairwise_0,test_diversity_pairwise_1,model_category,local
45a52b59420e19a3e0c0ddb3741b2463,46,loaded,,True,0.0001,0.00022908195606777002,,,,,,,,,,,1803,114,,[],,,,0.9769656147612952,0.8957790536530611,0.2784209753158116,0.5513799177921316,0.4644744568408691,0.3990996281072617,0.2812820512820513,,,,,,,0.6167479830299294,0.8547199432520365,,,,,0.9736654665103756,0.8920991248995818,0.28762975299076193,0.6302857553608586,0.8847727119528127,,,0.11780132652283302,0.015211259202296391,0.0040678339389935035,0.0001883052527254709,,,,,fraudNN_distillation_baseline,False
56c69d2eb40a89b2f1b2bc0a78675519,100,loaded,,True,0.0001,2.0306324041374013e-06,,,,,,,,,,,1256,60,,[],,,,0.981045156666378,0.911889685800527,0.2803281523156912,0.5521628498727735,0.4607555294578196,0.3966559013505577,0.28167351732237234,,,,,,,0.6151178808128207,0.8547199432520365,,,,,0.9756849670125264,0.8981711018132674,0.2888342722712005,0.6292200295705056,0.8847727119528128,,,0.1115448146171635,0.013646413051764884,0.0033544255546237712,0.0006098955553861401,,,,,fraudNN_distillation_baseline,False
b66f713e641c9d228bcf34b1f282e314,24,simplified,,True,0.001,8.335939135284097e-06,,,,,,,,,,,1223,89,,[],,,,0.96356477071523,0.8172926604328906,0.27141720863917274,0.5496183206106869,0.4570431265087754,0.3975337639459777,0.28263848111176354,,,,,,,0.6227342420863365,0.8547199432520364,,,,,0.9621105147976996,0.8299943132978123,0.2809712746875406,0.6361769952666788,0.8847727119528128,,,0.11770984218952504,0.013036517496378745,0.0027368645311271265,0.00022871083326980255,,,,,fraudNN_distillation_baseline,False
24f52bc7ed5dfe66b4b9f980a5e05d77,19,simplified,,True,0.01,0.003505384363825565,,,,,,,,,,,714,507,,[],,,,0.9352774370968266,0.7608361371147818,0.23923472910024146,0.5183010373850069,0.4100606772362498,0.35624388334312,0.2499569387355647,,,,,,,0.6502412491715618,0.8547199432520365,,,,,0.9257441235292416,0.7465584105630687,0.23945000996207544,0.6729138772615392,0.8847727119528127,,,0.09637874513989483,0.015441030723488604,0.004955401387512388,0.0006861324998094076,,,,,fraudNN_distillation_baseline,False
bfc6fcb98c697b709707cf2da016c024,24,loaded,,True,0.01,0.009087804299744276,,,,,,,,,,,602,240,,[],,,,0.8806446803448442,0.6450527109735753,0.14666307618927954,0.4261107848894109,0.31806615776081426,0.2589547856723429,0.15932667841064788,,,,,,,0.7293640870943663,0.8547199432520364,,,,,0.8746127602513101,0.6445877102287072,0.14526505403609513,0.756246156141325,0.8847727119528127,,,0.14345124647404134,0.049114889075245874,0.02973309738976431,0.01073990307554893,,,,,fraudNN_distillation_baseline,False
2ef9455cb98cbb40fd86a1d8c9b2dff1,32,loaded,,True,0.001,6.9676780753358795e-06,,,,,,,,,,,239,406,,[],,,,0.9760480040613908,0.8842848454518644,0.278496430929261,0.5519671168526129,0.4656488549618321,0.3969641808573106,0.28498923468389115,,,,,,,0.6166834896122837,0.8547199432520364,,,,,0.9742130442937158,0.8876809867862491,0.28852050655659844,0.6294976409127317,0.8847727119528126,,,0.11061980635816117,0.012426621940992606,0.003278188610200503,0.0006861324998094076,,,,,fraudNN_distillation_baseline,False
831568e532711f5c7e46c49028eec965,51,loaded,,True,0.0001,0.0003161566535924002,,,,,,,,,,,1888,179,,[],,,,0.9786660604533368,0.9003626758299978,0.2792001743940585,0.5529457819534156,0.4644568408690546,0.3983284400078293,0.2828440007829321,,,,,,,0.6160819860379879,0.8547199432520364,,,,,0.9759743744359644,0.895491539287826,0.2888785054965908,0.6291808932197185,0.8847727119528126,,,0.1114584127468171,0.01349393916291835,0.003201951665777236,0.0006098955553861401,,,,,fraudNN_distillation_baseline,False
2c5d908fa93c45c967630f18ac6569cc,28,simplified,,True,0.001,2.2239040751975706e-05,,,,,,,,,,,1257,367,,[],,,,0.9668734650074156,0.8307475870665648,0.27290983085704523,0.5482677627715796,0.4591961897305409,0.3942297905656684,0.275787825406146,,,,,,,0.6214584681089799,0.8547199432520365,,,,,0.9644223802139908,0.8272800438071536,0.2822915484013615,0.6350088531123814,0.8847727119528127,,,0.11572768163452007,0.01410574064191508,0.003201951665777236,0.0004574216665396051,,,,,fraudNN_distillation_baseline,False
4e1df97e0e320f8a231a4ad671850029,16,loaded,,True,1e-05,2.646341290873628e-06,,,,,,,,,,,1607,287,,[],,,,0.5787699127446577,0.3646961898352795,0.0,0.2147191231160697,0.0947641417107066,0.03816793893129771,0.0019573302016050106,,,,,,,1.329554481230065,0.8547199432520363,,,,,0.7234454107794808,0.4631818496946366,0.0,0.9480855285767512,0.8847727119528127,,,0.1049020355264161,0.0208889227719753,0.006098955553861401,0.0016009758328886178,,,,,fraudNN_distillation_baseline,False
565544767ac990cb64b1a47b141d217b,24,loaded,,True,0.01,1.8707389337526947e-06,,,,,,,,,,,1889,87,,[],,,,0.9664704433169526,0.8528334610542678,0.2724098503756135,0.547660990409082,0.44979448032883146,0.3850068506557056,0.27715795654726955,,,,,,,0.6218858113976963,0.8547199432520364,,,,,0.962066392690498,0.8489318876164581,0.2804405279465544,0.6366465855000613,0.8847727119528127,,,0.10322482274910423,0.014850109696492256,0.0037356102767401077,0.0006861324998094076,,,,,fraudNN_distillation_baseline,False
